,epoch,PE_15850,vix_close,CE_15900,PE_15800,CE_15950,PE_15750,CE_16000,PE_15700,CE_16050,PE_15650,CE_16100,PE_15600,CE_16150,PE_15550,CE_16200,PE_15500,CE_16250,PE_15450,CE_16300,PE_15400,CE_16350,PE_15350,CE_16400,PE_15300,CE_16450,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
30,1656303300,110.75,20.99,144.2,92.3,117.95,75.85,95.2,63.0,75.25,52.05,58.35,43.0,44.3,35.55,33.2,29.6,24.35,24.35,17.65,20.4,12.75,16.85,9.2,14.15,6.8,15909.85,15913.25,15908.85,15911.55,0
31,1656303360,115.8,20.96,138.45,96.3,113.25,79.6,91.1,65.75,71.75,54.6,55.4,45.1,42.05,37.35,31.5,31.05,23.0,25.5,16.75,21.3,12.1,17.55,8.75,14.7,6.5,15911.35,15911.5,15893.0,15895.5,0
32,1656303420,112.75,21.02,141.85,93.9,116.25,77.55,93.65,64.2,73.8,53.2,57.0,44.05,43.35,36.35,32.3,30.2,23.75,24.95,17.1,20.7,12.4,17.3,8.9,14.4,6.55,15896.3,15905.2,15891.6,15902.25,0
33,1656303480,114.45,20.97,139.95,95.0,114.35,78.7,92.0,64.9,72.8,53.8,55.9,44.85,42.4,36.8,31.6,30.75,23.1,25.35,16.75,21.1,12.05,17.55,8.85,14.65,6.5,15902.35,15904.4,15895.6,15897.85,0
34,1656303540,118.35,20.94,134.0,98.4,109.6,81.5,88.15,67.2,68.95,55.65,53.1,46.0,40.2,38.15,29.9,31.5,21.85,25.95,15.85,21.75,11.45,17.9,8.35,15.1,6.15,15898.05,15898.05,15886.4,15888.25,0
35,1656303600,119.35,20.95,132.55,98.85,108.05,82.0,86.7,67.6,68.15,56.1,52.45,46.6,39.85,38.35,29.55,31.7,21.6,26.1,15.6,21.8,11.2,17.95,8.25,15.0,6.1,15888.2,15893.45,15887.25,15887.25,0
36,1656303660,115.6,20.94,137.3,96.2,112.1,79.65,90.3,65.65,70.85,55.2,55.0,45.2,41.4,37.75,31.2,31.4,22.65,25.8,16.5,21.5,11.75,17.9,8.65,14.95,6.35,15887.3,15895.9,15886.75,15892.65,0
37,1656303720,118.55,20.92,134.05,98.4,109.5,81.3,88.0,67.0,69.0,55.45,53.3,46.05,40.15,37.95,29.95,31.4,21.75,25.7,15.8,21.5,11.35,17.9,8.35,14.8,6.1,15893.75,15894.9,15889.1,15890.2,0
38,1656303780,118.7,20.9,133.45,99.0,108.8,81.8,87.5,67.45,68.8,55.5,53.1,46.0,40.15,37.75,30.0,31.4,21.85,25.6,15.9,21.3,11.4,17.65,8.35,14.85,6.2,15890.25,15893.9,15886.85,15888.2,0
39,1656303840,118.95,20.92,133.1,98.9,108.65,81.8,87.0,67.6,68.1,55.9,52.35,46.2,39.6,38.0,29.5,31.35,21.4,25.85,15.55,21.4,11.25,17.75,8.15,14.75,6.05,15888.3,15893.8,15888.3,15889.3,0
40,1656303900,115.9,20.93,137.0,96.25,111.85,79.85,90.0,65.6,70.9,54.05,54.6,44.9,41.2,37.0,30.75,30.6,22.5,25.2,16.2,20.95,11.55,17.25,8.4,14.5,6.25,15889.55,15899.65,15889.2,15894.0,0
