,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
48,1657686780,73.9,18.14,61.75,53.0,42.4,37.25,28.1,25.7,17.6,17.1,10.45,11.3,6.15,7.55,3.65,5.0,2.25,3.6,1.55,2.75,1.25,2.15,1.15,1.7,1.0,16116.25,16116.25,16109.5,16109.5,0
49,1657686840,72.25,18.16,63.75,51.7,43.9,36.45,29.25,25.0,18.35,16.7,10.85,11.1,6.35,7.35,3.75,4.9,2.3,3.55,1.45,2.75,1.2,2.1,1.1,1.7,0.95,16109.9,16116.75,16109.65,16116.2,0
50,1657686900,71.75,18.16,64.2,51.2,44.45,35.9,29.4,24.75,18.6,16.5,11.0,10.85,6.5,7.3,3.7,4.85,2.3,3.5,1.5,2.65,1.25,2.1,1.05,1.65,1.0,16116.0,16119.65,16116.0,16118.55,0
51,1657686960,70.75,18.15,65.45,50.7,45.35,35.6,30.1,24.45,18.85,16.4,11.2,10.75,6.6,7.2,3.85,4.8,2.25,3.45,1.5,2.65,1.25,2.15,1.05,1.65,0.95,16118.95,16120.75,16118.55,16120.65,0
52,1657687020,71.4,18.14,64.7,50.9,44.85,35.85,29.75,24.5,18.75,16.35,11.15,10.8,6.55,7.25,3.75,4.75,2.25,3.5,1.5,2.65,1.25,2.15,1.05,1.65,0.95,16120.65,16122.25,16118.45,16119.45,0
53,1657687080,70.35,18.12,65.3,50.35,45.15,35.2,29.9,24.15,18.85,16.25,11.2,10.75,6.6,7.25,3.75,4.8,2.25,3.5,1.4,2.65,1.2,2.15,1.05,1.6,1.0,16118.6,16121.1,16116.95,16120.25,0
54,1657687140,66.1,18.11,69.3,46.85,48.0,32.85,31.9,22.5,20.0,15.15,11.9,10.0,6.9,6.75,3.95,4.6,2.4,3.4,1.5,2.6,1.2,2.1,1.1,1.6,1.0,16120.1,16130.35,16119.45,16130.35,0
55,1657687200,64.4,18.11,71.0,45.55,49.2,31.75,32.8,21.7,20.9,14.5,12.35,9.65,7.2,6.55,4.15,4.45,2.5,3.2,1.55,2.45,1.25,2.0,1.1,1.55,1.05,16130.25,16133.95,16130.25,16133.95,0
56,1657687260,64.3,18.09,71.15,45.6,49.35,31.7,33.05,21.65,20.85,14.4,12.45,9.6,7.3,6.5,4.15,4.4,2.45,3.2,1.55,2.5,1.2,1.95,1.05,1.6,0.95,16134.15,16140.0,16134.15,16134.25,0
57,1657687320,65.25,18.1,70.3,46.3,48.85,32.2,32.6,22.2,20.65,14.7,12.5,9.7,7.25,6.55,4.15,4.5,2.5,3.25,1.55,2.55,1.2,2.0,0.95,1.55,1.0,16133.85,16133.95,16129.95,16131.85,0
