,epoch,PE_16100,vix_close,CE_16150,PE_16050,CE_16200,PE_16000,CE_16250,PE_15950,CE_16300,PE_15900,CE_16350,PE_15850,CE_16400,PE_15800,CE_16450,PE_15750,CE_16500,PE_15700,CE_16550,PE_15650,CE_16600,PE_15600,CE_16650,PE_15550,CE_16700,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume
31,1657512960,104.2,19.06,114.3,84.75,90.05,68.3,69.15,54.25,51.55,42.95,37.8,33.8,27.35,26.25,19.05,20.45,13.15,15.65,8.8,12.05,6.05,9.35,4.15,7.0,3.1,16161.35,16161.35,16153.9,16156.85,0
32,1657513020,105.95,19.05,112.2,86.1,88.8,69.2,68.0,55.15,50.65,43.6,37.45,34.4,26.85,26.75,18.85,20.95,13.05,16.0,8.7,12.2,6.0,9.4,4.15,7.15,3.1,16157.35,16158.0,16151.75,16153.2,0
33,1657513080,106.65,19.06,112.2,86.95,88.65,69.95,68.2,55.7,50.9,43.95,37.3,34.7,26.95,27.1,19.0,21.05,13.2,16.1,8.9,12.15,6.2,9.4,4.3,7.2,3.15,16153.75,16154.6,16147.25,16152.75,0
34,1657513140,105.0,19.07,114.4,85.15,90.55,68.75,69.9,54.45,52.2,43.2,38.25,34.05,27.75,26.55,19.55,20.8,13.5,15.9,9.25,12.2,6.3,9.4,4.4,7.1,3.2,16151.15,16161.3,16150.95,16157.8,0
35,1657513200,104.65,19.08,114.8,85.35,90.95,68.85,70.2,54.5,52.5,43.4,38.55,34.0,27.95,26.55,19.65,20.75,13.55,15.85,9.2,12.1,6.3,9.35,4.35,7.1,3.2,16157.8,16159.5,16153.9,16156.65,0
36,1657513260,102.9,19.08,116.75,83.7,92.4,67.45,70.85,53.65,53.3,42.45,39.2,33.4,28.3,25.95,20.0,20.2,13.85,15.5,9.4,11.85,6.45,9.25,4.45,7.1,3.3,16156.25,16161.3,16152.65,16158.3,0
37,1657513320,104.0,19.08,115.2,84.7,91.05,68.15,70.25,54.35,52.65,42.9,38.6,33.8,27.85,26.25,19.6,20.3,13.55,15.6,9.1,11.9,6.3,9.15,4.4,7.05,3.2,16158.65,16160.2,16156.9,16157.35,0
38,1657513380,105.5,19.08,113.45,85.55,89.5,69.0,69.05,55.1,51.55,43.55,37.85,34.3,27.3,26.7,19.2,20.65,13.4,15.8,9.0,12.0,6.2,9.3,4.35,7.1,3.2,16157.6,16157.7,16149.4,16151.55,0
39,1657513440,107.0,19.06,110.55,87.35,86.65,70.1,66.65,55.95,49.5,44.2,36.25,34.65,26.1,26.95,18.35,20.95,12.8,16.0,8.65,12.25,6.0,9.45,4.2,7.15,3.2,16151.65,16152.65,16142.95,16146.1,0
40,1657513500,108.25,19.04,108.7,88.25,85.45,71.05,65.4,56.5,48.45,44.6,35.45,35.1,25.55,27.3,17.9,21.15,12.45,16.2,8.45,12.35,5.85,9.5,4.1,7.2,3.1,16145.8,16146.85,16141.1,16141.7,0
41,1657513560,105.85,19.02,112.3,86.0,88.5,69.0,67.8,55.05,50.45,43.35,36.95,34.0,26.65,26.6,18.8,20.55,13.1,15.75,8.8,12.0,6.1,9.3,4.25,7.0,3.15,16141.4,16151.65,16141.4,16150.9,0
42,1657513620,109.7,19.05,106.75,89.45,83.95,71.7,64.0,57.2,47.7,44.95,34.75,35.4,24.9,27.45,17.5,21.2,12.2,16.25,8.2,12.3,5.7,9.45,4.05,7.15,3.05,16150.55,16150.55,16135.95,16137.25,0
43,1657513680,107.45,19.04,109.1,87.35,85.95,70.1,65.85,55.65,48.8,43.7,35.65,34.35,25.7,26.7,18.05,20.65,12.55,15.8,8.5,12.15,5.95,9.35,4.15,7.15,3.1,16136.4,16144.1,16136.2,16143.5,0
44,1657513740,107.1,19.05,109.85,86.7,86.35,69.75,66.15,55.5,49.35,43.3,36.05,34.05,26.1,26.45,18.35,20.5,12.8,15.65,8.65,11.9,6.05,9.2,4.25,6.95,3.15,16143.45,16146.95,16143.0,16144.65,0
45,1657513800,107.4,19.03,109.0,87.0,85.9,70.1,65.75,55.3,49.05,43.75,36.0,34.05,25.9,26.6,18.25,20.45,12.8,15.65,8.6,11.8,6.05,9.2,4.2,6.9,3.2,16144.8,16146.55,16143.2,16144.4,0
46,1657513860,103.35,19.05,113.75,83.8,89.8,67.1,68.85,53.15,51.5,42.0,37.7,33.0,27.3,25.5,19.2,19.7,13.45,15.0,9.05,11.35,6.25,8.75,4.4,6.65,3.25,16144.55,16154.4,16143.95,16153.9,0
47,1657513920,103.65,19.03,113.65,84.3,89.75,67.7,68.9,53.5,51.6,42.05,37.7,33.1,27.3,25.75,19.35,19.8,13.5,15.15,9.15,11.55,6.3,8.95,4.45,6.75,3.25,16154.6,16159.1,16154.35,16156.6,0
48,1657513980,103.6,19.04,114.3,84.0,90.45,67.6,69.55,53.6,52.3,42.05,38.2,33.0,27.7,25.65,19.45,19.8,13.6,15.1,9.15,11.65,6.3,8.95,4.45,6.75,3.25,16156.2,16159.35,16154.75,16156.25,0
49,1657514040,103.6,19.02,114.75,84.25,90.8,67.65,70.0,53.4,52.35,42.25,38.35,33.05,27.65,25.8,19.45,19.85,13.55,15.25,9.05,11.65,6.25,9.0,4.4,6.8,3.2,16156.75,16159.95,16156.35,16156.9,0
50,1657514100,104.35,19.03,113.3,85.05,89.65,68.05,69.0,53.7,51.6,42.45,37.8,33.45,27.3,25.8,19.3,20.0,13.3,15.3,8.95,11.65,6.15,9.0,4.3,6.8,3.15,16156.3,16156.3,16151.6,16153.15,0
51,1657514160,103.55,19.03,114.35,84.05,90.5,67.75,69.45,53.35,52.15,41.95,38.3,33.15,27.65,25.6,19.4,19.9,13.55,15.1,9.1,11.6,6.25,8.9,4.3,6.8,3.15,16153.3,16157.3,16152.6,16155.65,0
52,1657514220,100.9,19.02,115.75,81.6,91.9,65.55,70.8,51.6,52.8,40.4,38.85,31.95,28.1,24.55,19.8,19.05,13.8,14.4,9.3,10.95,6.35,8.5,4.45,6.45,3.25,16155.65,16164.75,16155.4,16162.15,0
53,1657514280,101.2,19.03,114.25,81.7,90.5,65.75,69.6,51.8,52.25,40.6,38.15,31.9,27.65,24.7,19.55,18.85,13.65,14.4,9.2,11.0,6.35,8.4,4.45,6.4,3.25,16162.15,16163.3,16159.1,16160.9,0
54,1657514340,99.2,19.0,117.0,80.4,92.5,64.45,71.45,50.8,53.55,39.9,39.2,31.25,28.35,24.2,20.0,18.7,13.95,14.2,9.4,10.8,6.4,8.3,4.45,6.35,3.25,16160.15,16165.4,16157.8,16164.95,0
55,1657514400,100.75,19.02,116.5,81.35,92.25,65.3,71.25,51.4,53.65,40.35,39.4,31.65,28.5,24.5,20.15,18.9,14.0,14.45,9.45,11.1,6.55,8.45,4.55,6.45,3.25,16164.85,16165.7,16160.6,16164.65,0
56,1657514460,100.45,19.01,116.25,81.05,91.95,64.85,71.0,51.15,53.5,40.1,39.1,31.5,28.25,24.35,20.1,18.8,14.05,14.3,9.5,11.0,6.5,8.45,4.55,6.5,3.3,16164.85,16166.75,16163.75,16165.3,0
57,1657514520,96.2,18.97,120.7,77.8,96.05,62.0,74.6,48.7,56.35,38.0,41.7,29.65,30.3,22.85,21.6,17.6,15.2,13.35,10.4,10.25,7.1,7.75,4.9,6.0,3.55,16164.95,16171.25,16164.3,16171.05,0
58,1657514580,97.55,18.99,120.1,78.75,95.35,62.6,74.1,49.15,56.25,38.5,41.65,30.0,30.25,23.15,21.6,17.8,15.2,13.4,10.35,10.2,7.1,7.8,4.9,6.0,3.55,16172.0,16175.45,16170.05,16171.4,0
59,1657514640,99.6,18.99,118.0,80.5,93.75,64.35,73.0,50.6,55.4,39.7,40.8,30.95,29.85,23.85,21.2,18.25,14.9,13.8,10.2,10.45,6.95,8.05,4.9,6.05,3.45,16170.65,16172.05,16167.2,16167.5,0
60,1657514700,100.1,18.99,117.6,81.0,93.35,64.6,72.45,50.95,54.7,39.95,40.5,31.3,29.55,24.1,21.05,18.45,14.7,14.05,10.05,10.7,6.95,8.3,4.85,6.4,3.5,16167.1,16168.65,16163.55,16165.5,0
61,1657514760,97.2,19.0,121.75,78.1,97.05,62.25,75.4,49.0,57.1,38.45,42.3,29.95,30.8,23.1,21.75,17.85,15.3,13.55,10.4,10.4,7.1,8.0,4.9,6.2,3.55,16164.8,16172.1,16164.75,16172.0,0
62,1657514820,98.45,19.0,120.5,79.5,96.15,63.45,74.7,50.0,56.75,39.1,41.9,30.65,30.4,23.65,21.7,18.2,15.15,13.8,10.3,10.45,7.05,8.1,4.9,6.2,3.5,16172.45,16172.45,16169.65,16170.3,0
63,1657514880,100.45,19.02,117.5,81.25,93.4,65.0,72.4,51.15,54.7,39.95,40.45,31.25,29.45,24.05,20.8,18.45,14.6,14.1,9.9,10.65,6.85,8.3,4.8,6.25,3.45,16170.65,16170.65,16162.1,16162.25,0
64,1657514940,101.45,19.03,115.4,82.05,91.8,65.55,71.2,51.75,53.75,40.5,39.6,31.7,28.95,24.35,20.35,18.75,14.25,14.25,9.7,10.8,6.7,8.3,4.65,6.35,3.45,16162.3,16162.75,16158.1,16159.15,0
65,1657515000,100.6,19.02,116.2,81.3,92.25,64.85,71.45,51.0,53.95,39.9,39.5,31.25,28.75,24.1,20.25,18.4,14.1,14.0,9.55,10.65,6.55,8.25,4.55,6.3,3.35,16158.9,16158.9,16152.45,16157.95,0
66,1657515060,101.75,19.02,114.9,82.4,91.2,65.75,70.4,51.85,53.0,40.7,38.8,31.75,28.2,24.5,19.85,18.75,13.8,14.25,9.35,10.75,6.35,8.25,4.5,6.3,3.3,16157.7,16158.2,16155.8,16156.15,0
67,1657515120,102.5,19.0,113.9,82.9,90.45,66.0,69.7,52.15,52.5,40.8,38.6,31.95,28.0,24.5,19.7,18.9,13.75,14.35,9.35,10.85,6.4,8.35,4.45,6.3,3.3,16156.3,16157.3,16153.75,16154.7,0
68,1657515180,101.0,19.0,115.3,81.9,91.4,65.2,70.65,51.15,53.2,40.4,39.15,31.5,28.45,24.3,20.05,18.6,13.95,14.2,9.5,10.8,6.5,8.25,4.5,6.3,3.35,16154.6,16158.1,16154.5,16156.35,0
69,1657515240,99.35,18.97,117.4,80.1,93.1,63.85,72.0,50.25,54.3,39.3,39.95,30.75,28.95,23.75,20.45,18.25,14.1,13.8,9.6,10.4,6.55,7.95,4.55,6.1,3.3,16156.3,16160.5,16155.6,16159.75,0
70,1657515300,99.7,18.97,117.8,80.6,93.45,64.35,72.25,50.7,54.7,39.6,40.15,30.95,29.1,23.85,20.5,18.3,14.3,13.9,9.65,10.55,6.65,8.05,4.6,6.15,3.35,16160.15,16163.65,16159.35,16162.5,0
71,1657515360,98.6,18.95,118.75,79.6,94.5,63.5,73.05,50.0,55.35,38.95,40.6,30.5,29.35,23.6,20.7,18.1,14.4,13.85,9.75,10.4,6.7,8.05,4.6,6.1,3.35,16162.5,16165.25,16161.7,16164.1,0
72,1657515420,100.7,18.96,116.3,81.55,92.55,65.0,71.25,51.2,53.95,39.95,39.45,31.5,28.7,24.05,20.2,18.6,14.1,14.0,9.55,10.5,6.6,8.2,4.55,6.25,3.3,16164.5,16164.9,16159.05,16160.65,0
73,1657515480,102.0,18.94,114.95,82.45,91.1,65.85,70.35,51.95,53.05,40.55,38.95,31.75,28.25,24.4,20.05,18.85,13.95,14.25,9.45,10.75,6.55,8.3,4.55,6.3,3.3,16160.2,16160.45,16156.85,16158.75,0
74,1657515540,98.55,18.94,118.8,79.7,94.5,63.7,73.25,50.0,55.45,39.05,40.8,30.6,29.65,23.6,20.95,18.1,14.6,13.75,9.85,10.4,6.75,8.1,4.6,6.2,3.35,16159.0,16166.15,16158.55,16165.2,0
75,1657515600,101.2,18.95,116.0,81.9,92.25,65.45,71.25,51.45,53.85,40.5,39.65,31.7,28.8,24.4,20.35,18.75,14.15,14.2,9.6,10.75,6.65,8.25,4.55,6.2,3.35,16165.5,16165.5,16157.7,16160.1,0
76,1657515660,102.9,18.95,113.5,83.3,90.25,66.4,69.5,52.1,52.5,40.95,38.65,31.95,27.95,24.7,19.75,18.95,13.8,14.25,9.35,10.75,6.5,8.2,4.5,6.25,3.35,16160.9,16160.9,16155.45,16156.1,0
77,1657515720,103.2,18.95,112.65,83.35,89.5,66.35,68.95,52.25,52.0,40.9,38.05,31.95,27.55,24.65,19.5,18.9,13.6,14.25,9.2,10.75,6.35,8.3,4.5,6.25,3.3,16156.5,16158.0,16152.15,16153.5,0
78,1657515780,103.65,18.95,112.0,83.85,88.75,66.9,68.2,52.5,51.55,41.0,37.8,32.0,27.4,24.6,19.3,18.85,13.6,14.35,9.2,10.75,6.35,8.2,4.4,6.25,3.3,16153.25,16155.1,16153.15,16153.75,0
79,1657515840,103.95,18.95,111.05,84.0,87.9,66.95,67.7,52.6,50.95,41.1,37.5,31.95,27.2,24.75,19.25,18.95,13.45,14.3,9.2,10.7,6.35,8.25,4.45,6.3,3.3,16153.2,16154.6,16152.25,16152.25,0
80,1657515900,101.75,18.95,113.7,82.0,90.4,65.5,69.65,51.1,52.6,40.15,38.5,31.2,28.0,24.0,19.65,18.35,13.8,13.9,9.35,10.55,6.5,8.1,4.5,6.15,3.3,16152.45,16156.9,16150.2,16156.9,0
81,1657515960,102.3,18.95,113.0,82.55,89.45,66.0,69.25,51.8,52.0,40.3,38.3,31.4,27.85,24.1,19.75,18.55,13.75,14.05,9.35,10.45,6.5,8.05,4.55,6.2,3.35,16157.25,16158.25,16154.15,16155.5,0
82,1657516020,103.5,18.95,111.45,83.8,88.15,66.7,67.85,52.35,51.05,40.9,37.45,31.8,27.25,24.45,19.25,18.7,13.5,14.15,9.2,10.6,6.35,8.15,4.45,6.2,3.35,16155.1,16156.25,16153.3,16153.3,0
83,1657516080,104.15,18.95,110.3,84.35,87.2,67.2,67.1,52.85,50.35,41.2,37.05,32.2,27.0,24.7,19.05,18.85,13.45,14.2,9.15,10.7,6.35,8.2,4.45,6.3,3.3,16154.25,16154.85,16151.1,16151.3,0
